id,episode_num,challenge_type,question,answer,options,word_pieces
624,1,"translation","""What is this?""","저기요... 이거 뭐예요?","[""네, 있어!"",""저기요... 이거 뭐예요?"",""달고나 라떼가 뭐예요?"",""와이파이 있어요?""]",
625,1,"translation","""What is that?""","저거 뭐예요?","[""어서 와! 주문하시겠어?"",""저거 뭐예요?"",""달달하고 맛있어!"",""사이즈는?""]",
626,1,"fill_blank","저기요... 이거 ___?","뭐예요","[""없어요"",""봐요"",""뭐예요"",""안 돼요""]",
627,1,"fill_blank","저거 ___?","뭐예요","[""해요"",""뭐예요"",""안 돼요"",""몰라요""]",
628,1,"word_order","""What is this?""","저기요 이거 뭐예요",,"[""뭐예요"",""저기요"",""없어요"",""이거""]"
629,1,"translation","Dalgona latte, please.","달고나 라떼 주세요!","[""달고나 라떼 주세요!"",""큰 거 주세요."",""달달하고 맛있어!"",""너무 맛있어요!""]",
630,1,"translation","""Menu, please.""","메뉴 주세요.","[""메뉴 주세요."",""달고나 라떼가 뭐예요?"",""너무 맛있어요!"",""큰 거 주세요.""]",
631,1,"fill_blank","달고나 라떼 ___!","주세요","[""몰라요"",""봐요"",""주세요"",""해요""]",
632,1,"fill_blank","메뉴 ___.","주세요","[""해요"",""없어요"",""몰라요"",""주세요""]",
633,1,"word_order","Dalgona latte, please.","달고나 라떼 주세요",,"[""달고나"",""라떼"",""주세요"",""없어요""]"
634,1,"translation","Is there WiFi?","와이파이 있어요?","[""달고나 라떼가 뭐예요?"",""와이파이 있어요?"",""와, 예쁘다!"",""네, 있어!""]",
635,1,"fill_blank","와이파이 ___?","있어요","[""있어요"",""안 돼요"",""봐요"",""없어요""]",
636,1,"word_order","Is there WiFi?","와이파이 있어요",,"[""없어요"",""와이파이"",""있어요""]"
637,2,"translation","""I want to go to Jeju Island.""","지수! 홍대 가고 싶어요...","[""여기서 2호선 타면 돼!"",""어디서 타요?"",""지수! 홍대 가고 싶어요..."",""와... 사람이 너무 많다!""]",
638,2,"translation","""I want to go to the sea.""","바다에 가고 싶어요.","[""표 두 장 주세요!"",""바다에 가고 싶어요."",""에마야! 여기서 뭐 해?"",""그치? 나도 좋아!""]",
639,2,"fill_blank","지수! 홍대 ___...","가고 싶어요","[""가고 싶어요"",""봐요"",""몰라요"",""없어요""]",
640,2,"fill_blank","바다에 ___.","가고 싶어요","[""가고 싶어요"",""없어요"",""해요"",""몰라요""]",
641,2,"word_order","""I want to go to Jeju Island.""","지수 홍대 가고 싶어요",,"[""가고"",""없어요"",""싶어요"",""홍대"",""지수""]"
