// All unique phrases extracted from story-chunks + pattern-examples
// Format: phrase | type

a bit ahead                                        | chunk
a bit early                                        | chunk
a bit of patience                                  | chunk
a break                                            | chunk
a cold                                             | chunk
a comeback like this                               | chunk
a different style                                  | chunk
a fancy dinner                                     | chunk
a few things                                       | chunk
a great idea                                       | chunk
a haircut                                          | chunk
a larger size                                      | chunk
a lot going on                                     | chunk
a lot of noise                                     | chunk
a luxury suite                                     | chunk
a migraine                                         | chunk
a new life                                         | chunk
a painkiller                                       | chunk
a plan to save money                               | chunk
a proper vacation                                  | chunk
a really good idea                                 | chunk
a refund                                           | chunk
a rough day                                        | chunk
a side salad                                       | chunk
a solution                                         | chunk
a warranty                                         | chunk
about to depart                                    | chunk
about to head into                                 | chunk
about to lose my mind                              | chunk
accept the offer                                   | chunk
accuracy matters more than speed                   | chunk
actually believe that                              | chunk
address it                                         | chunk
adjusting to                                       | chunk
afford to                                          | chunk
after a few weeks                                  | chunk
after a long day                                   | chunk
after a stressful day at work                      | chunk
after all this time                                | chunk
after getting sick                                 | chunk
after missing a week of school                     | chunk
after taking this                                  | chunk
after that                                         | chunk
after the burnout                                  | chunk
after the discount                                 | chunk
after the insurance                                | chunk
after you graduate                                 | chunk
after you retire                                   | chunk
ages since                                         | chunk
agree with                                         | chunk
ahead of schedule                                  | chunk
ahead of the competition                           | chunk
ahead of the curve                                 | chunk
all night                                          | chunk
all platforms                                      | chunk
all that energy                                    | chunk
all that matters                                   | chunk
all the issues                                     | chunk
all this traffic                                   | chunk
almost blew it                                     | chunk
almost burst into tears                            | chunk
almost missed                                      | chunk
almost missed our flight                           | chunk
almost ready                                       | chunk
already knows about                                | chunk
Although                                           | chunk
always a good idea                                 | chunk
always been                                        | chunk
always late                                        | chunk
always thought                                     | chunk
always wanted to                                   | chunk
Am I allowed to                                    | chunk
an extra blanket                                   | chunk
an old photo                                       | chunk
antihistamine                                      | chunk
any discounts                                      | chunk
any extras                                         | chunk
any further                                        | chunk
anyway                                             | chunk
apologize                                          | chunk
apply for                                          | chunk
apply for the promotion                            | chunk
appreciate                                         | chunk
Are you                                            | chunk
Are you seriously                                  | chunk
arguing about it                                   | chunk
argument between them                              | chunk
around here                                        | chunk
around noon                                        | chunk
As far as I know                                   | chunk
as it sounds                                       | chunk
as much as                                         | chunk
As you can see                                     | chunk
ask for a raise                                    | chunk
ask for help                                       | chunk
asked for help                                     | chunk
asking for a favor                                 | chunk
asking for a second opinion                        | chunk
at that firm                                       | chunk
at three                                           | chunk
avoid an argument                                  | chunk
avoid certain foods                                | chunk
avoiding me                                        | chunk
aware of the implications                          | chunk
aware of the risks                                 | chunk
bad at keeping in touch                            | chunk
bad at letting things go                           | chunk
bank transfer                                      | chunk
Be careful what you say                            | chunk
be delivered                                       | chunk
be her own boss                                    | chunk
be honest with                                     | chunk
be ready                                           | chunk
became too much                                    | chunk
because of a busy schedule                         | chunk
because of personal reasons                        | chunk
been at it                                         | chunk
been dealing with                                  | chunk
been going through                                 | chunk
been into mindfulness                              | chunk
been meaning to                                    | chunk
been thinking about                                | chunk
been through it                                    | chunk
been to                                            | chunk
been trying to                                     | chunk
before                                             | chunk
before bed                                         | chunk
before it even ended                               | chunk
before judging                                     | chunk
before responding                                  | chunk
before the presentation starts                     | chunk
before things got worse                            | chunk
before we launch                                   | chunk
behind on my rent                                  | chunk
behind on schedule                                 | chunk
behind this                                        | chunk
bend my knee                                       | chunk
best decision I ever made                          | chunk
better off                                         | chunk
better than expected                               | chunk
big setback                                        | chunk
burned out from                                    | chunk
busy schedule                                      | chunk
but it also                                        | chunk
but she also                                       | chunk
but they also                                      | chunk
buying new                                         | chunk
by now                                             | chunk
by the end of the year                             | chunk
By the time                                        | chunk
by tomorrow                                        | chunk
can all relate to                                  | chunk
Can I                                              | chunk
Can I get                                          | chunk
Can I pay by                                       | chunk
can relate to                                      | chunk
Can we                                             | chunk
Can we get the check                               | chunk
Can we reschedule                                  | chunk
Can you                                            | chunk
Can you walk me through                            | chunk
can't afford                                       | chunk
can't force it                                     | chunk
can't ignore                                       | chunk
can't please everyone                              | chunk
can't seem to                                      | chunk
can't wait                                         | chunk
can't wait to                                      | chunk
cancel the trip                                    | chunk
capable of handling                                | chunk
capable of pulling off                             | chunk
carefree and young                                 | chunk
carry your habits                                  | chunk
catch you later                                    | chunk
caught me up                                       | chunk
caught the mistake                                 | chunk
Chances are                                        | chunk
changed her mind                                   | chunk
changed their minds                                | chunk
changes so fast                                    | chunk
changes things                                     | chunk
changing careers                                   | chunk
changing your mind                                 | chunk
chasing his dream                                  | chunk
check the facts                                    | chunk
choosing this career                               | chunk
clicking sound                                     | chunk
closes at                                          | chunk
come to realize                                    | chunk
coming to                                          | chunk
comparing myself to others                         | chunk
completed on time                                  | chunk
completely                                         | chunk
completely over trying to please                   | chunk
confidence come from                               | chunk
confused about                                     | chunk
constant complaining                               | chunk
cook at home                                       | chunk
cooking is easy                                    | chunk
could do with                                      | chunk
could get used to                                  | chunk
could go for                                       | chunk
Could I                                            | chunk
could see himself                                  | chunk
could see myself                                   | chunk
could use                                          | chunk
Could you                                          | chunk
Could you break                                    | chunk
couldn't figure out                                | chunk
couldn't sleep                                     | chunk
coursework                                         | chunk
coworker                                           | chunk
curious about                                      | chunk
Deal with it                                       | chunk
dealing with a lot                                 | chunk
dealing with difficult clients                     | chunk
depends on                                         | chunk
desperately wanted to                              | chunk
didn't invite you                                  | chunk
didn't tell me                                     | chunk
disagrees with                                     | chunk
disappointed with                                  | chunk
do it right                                        | chunk
Do you                                             | chunk
Do you deliver                                     | chunk
Do you have                                        | chunk
Do you have anything for                           | chunk
Do you have this in                                | chunk
Do you know                                        | chunk
Do you offer                                       | chunk
Do you take cards                                  | chunk
do you want                                        | chunk
Does this come with                                | chunk
doesn't feel like                                  | chunk
doesn't have to                                    | chunk
don't feel like                                    | chunk
don't panic                                        | chunk
